title,author,description,genres,pages,rating
Alone with the Alone: Creative Imagination in the Sufism of Ibn 'Arabi,Henry Corbin,"""Henry Corbin's works are the best guide to the visionary tradition.... Corbin, like Scholem and Jonas, is remembered as a scholar of genius. He was uniquely equipped not only to recover Iranian Sufism for the West, but also to defend the principal Western traditions of esoteric spirituality."" —From the introduction by Harold Bloom Ibn 'Arabi (1165-1240) was one of the great mystics of all time. Through the richness of his personal experience and the constructive power of his intellect, he made a unique contribution to Shi'ite Sufism. In this book, which features a powerful new preface by Harold Bloom, Henry Corbin brings us to the very core of this movement with a penetrating analysis of Ibn 'Arabi's life and doctrines.Corbin begins with a kind of spiritual topography of the twelfth century, emphasizing the differences between exoteric and esoteric forms of Islam. He also relates Islamic mysticism to mystical thought in the West. The remainder of the book is devoted to two complementary essays: on ""Sympathy and Theosophy"" and ""Creative Imagination and Creative Prayer."" A section of notes and appendices includes original translations of numerous Sufi treatises.Harold Bloom's preface links Suufi mysticism with Shakespeare's visionary dramas and high tragedies, such as The Tempest and Hamlet. These works, he writes, intermix the empirical world with a transcendent element. Bloom shows us that this Shakespearean cosmos is analogous to Corbin's ""Imaginal Realm"" of the Sufis, the place of soul or souls.","{'Islam', 'Nonfiction', 'Religion', 'Mysticism', 'Theology', 'Spirituality', 'Philosophy'}","440 pages, Paperback",4.31
عبقرية محمد,عباس محمود العقاد,"نبذة المؤلف:إنه لنافع لمن يقدرون محمداً، وليس بنافع لمحمد أن يقدروه؛ لأنه فى عظمته الخالدة لا يضار بإنكار، ولا ينال منه بغى الجهلاء، إلا كما نال منه بغى الكفار.. وإنه لنافع للمسلم أن يقدر محمداً بالشواهد والبينات التى يراها غير المسلم، فلا يسعه إلا أن يقدرها ويجرى على مجراه فيها.. لأن مسلماً يقدر محمداً على هذا النحو يحب محمداً مرتين: مرة بحكم دينه الذى لا يشاركه فيه غيره، ومرة بحكم الشمائل الإنسانية التى يشترك فيها جميع الناس. وحسبنا من ""عبقرية محمد"" أن نقيم البرهان على أن محمداً عظيم فى كل ميزان: عظيم فى ميزان الدين، وعظيم فى ميزان العلم، وعظيم فى ميزان الشعور، وعظيم عند من يختلفون فى العقائد، ولا يسعهم أن يختلفوا فى الطبائع الآدمية، إلا أن يرين العنت على الطبائع فتنحرف عن السواء وهى خاسرة بانحرافها، ولا خسارة على السواء. إن عمل محمد لكاف جد الكفاية لتخويله المكان الأسنى من التعظيم والإعجاب والثناء... إنه نقل قومه من الإيمان بالأصنام إلى الإيمان بالله، ولم تكن أصناماً كأصناه يويان، يحسب للمعجب بها ذوق الجمال إن فاته أن يحسب له هدى الضمير.. ولكنها أصنام شائهات كتعاويذ السحر التى تفسد الأذواق وتفسد العقول..فنقلهم محمد من عبادة هذه الدمامة إلى عبادة الحق الأعلى.. عبادة خالق الكون الذى لا خالق سواه، ونقل العالم كله من ركود إلى حركة، ومن فوضى إلى نظام، ومن مهانة حيوانية إلى كرامة إنسانية، ولم ينقله هذه النقلة قبله ولا بعده أحد من أصحاب الدعوات...إن عمله هذا لكاف لتخويله المكان الأسنى بين صفوف الأخيار الخالدين، فما من أحد يضن على صاحب هذا العمل بالتوقير ثم يجود بالتوقير على اسم إنسان. إلا أننا نمضى خطوة وراء هذا، حين نقول إن التعظيم حق ""لعبقرية محمد"" ولو لم تقترن بعمل محمد.. لأن العبقرية قيمة فى النفس قبل أن تبرزها الأعمال، ويكتب لها التوفيق، وهى وحدها قيمة يغالى بها التقويم.. فإذا رجح بمحمد ميزان العبقرية، وميزان العمل، وميزان العقيدة؛ فهو نبى عظيم وبطل عظيم وإنسان عظيم. وحسبنا من كتابنا هذا أن يكون بناناً تومىء إلى تلك العظمة فى آفاقها، فإن البنان لأقدر على الإشارة من الباع على الإحاطة، وأفضل من عجز المحيط طاقة المشير..","{'Islam', 'Nonfiction', 'Audiobook', 'Religion', 'Biography', 'Spirituality', 'History'}","206 pages, Paperback",4.14
What is Sufism?,Martin Lings,"Martin Lings provides an excellent and authoritative introduction to the mystical movement of the Sufis based on his lifelong interest in Islamic culture. His explanation derives from a profound understanding of Sufism, and extends to many aspects which are usually neglected. His illuminating answer to 'What is Sufism?' gives a taste of the very subject matter itself. What do Sufis believe? What do they aim at? What do they do? Unlike other writers on the subject, Martin Lings treats all the three questions with equal justice. He is thus able to give a wealth of answers to the main question 'What is Sufism?', each answer being from a different angle but all going to the root of the matter. A reviewer wrote 'Should the book appear in paperback, I would use it for undergraduate and graduate courses on Islamic civilization', and in fact What is Sufism? has become a set book in colleges and universities on both sides of the Atlantic. It is now accepted as the authoritative statement on the subject of Sufism and it has been translated into French, German, Italian and Spanish. It has also been published in Sarajevo in Bosnian, and is available in Braille.","{'Islam', 'Nonfiction', 'Religion', 'Mysticism', 'Spirituality', 'Philosophy', 'History'}","134 pages, Paperback",3.93
Jihad: The Trail of Political Islam,Gilles Kepel,"The late twentieth century has witnessed the emergence of an unexpected and extraordinary phenomenon: Islamist political movements. Beginning in the early 1970s, militants revolted against the regimes in power throughout the Muslim world and exacerbated political conflicts everywhere. Their jihad, or ""Holy Struggle,"" aimed to establish a global Islamic state based solely on a strict interpretation of the Koran. Religious ideology proved a cohesive force, gathering followers ranging from students and the young urban poor to middle-class professionals.After an initial triumph with the Islamic revolution in Iran, the movement waged jihad against the USSR in Afghanistan, proclaiming for the first time a doctrine of extreme violence. By the end of the 1990s, the failure to seize political power elsewhere led to a split: movement moderates developed new concepts of ""Muslim democracy"" while extremists resorted to large-scale terrorist attacks around the world.Jihad is the first extensive, in-depth attempt to follow the history and geography of this disturbing political-religious phenomenon. Fluent in Arabic, Gilles Kepel has traveled throughout the Muslim world gathering documents, interviews, and archival materials inaccessible to most scholars, in order to give us a comprehensive understanding of the scope of Islamist movements, their past, and their present. As we confront the threat of terrorism to our lives and liberties, Kepel helps us make sense of the ominous reality of jihad today.","{'Islam', 'Politics', 'Nonfiction', 'Terrorism', 'Religion', 'Political Science', 'History'}","454 pages, Paperback",3.89
Dreams of Trespass: Tales of a Harem Girlhood,Fatema Mernissi,"This ""wonderful and enchanting"" memoir tells the revelatory true story of one Muslim girl's life in her family's French Moroccan harem, set against the backdrop of World War II ( The New York Times Book Review ).""I was born in a harem in 1940 in Fez, Morocco . . . ""So begins Fatima Mernissi in this illuminating narrative of a childhood behind the iron gates of a domestic harem. In Dreams of Trespass , Mernissi weaves her own memories with the dreams and memories of the women who surrounded her in the courtyard of her youth -- women who, without access to the world outside, recreated it from sheer imagination.A beautifully written account of a girl confronting the mysteries of time and place, gender and sex, Dreams of Trespass illuminates what it was like to be a modern Muslim woman in a place steeped in tradition.","{'Nonfiction', 'Feminism', 'Memoir', 'Biography', 'Africa', 'Morocco', 'History'}","242 pages, Paperback",3.90
"The Four Imams - Their lives, Works and their Schools of thought",محمد أبو زهرة,"This book is a compilation of four books which deal with the lives and works of the four imams who founded the four great canonical schools of thoughts of Islamic fiqh. The book was originally written in Arabic by the great Egyptian scholar and theologian Muhammad Abu Zahra and is presented in English for the first time.In this book there is a comprehensive, in depth analysis of the four Sunni madhhabs and their founders, giving details of their biography and the methods they used in reaching their legal conclusions. This is particularly important in the world today when many thousands of Muslims find themselves in a situation where there is not enough knowledge therefore no traditional allegiance to a particular madhhab. As a result of this ignorance there is also a great deal of futile disagreements amongst the Muslims. This work therefore has been long overdue in the English language and will be a milestone in bridging the gap amongst Muslims and uniting them. It makes a stimulating and enriching read for all who are interested in deepening their knowledge of Islam [From the book cover].","{'Islam', 'Nonfiction', 'Religion', 'Biography', 'History'}",Hardback,4.29
A Sufi Saint of the Twentieth Century: Shaikh Ahmad al-Alawi,Martin Lings,"'Almost a prerequisite for any serious study of Sufism in European languages': this was the verdict of Seyyed Hossein Nasr in his review of the first edition of the book. According to the Journal of Near Eastern Studies , it is 'one of the most thorough and intimately engaging books on Sufism to be produced by a Western scholar'. Certainly there is nothing second-hand about it. The author lets Sufis speak for themselves and, in a series of unusual and absorbing texts mainly translated from Arabic, he gives a vivid picture of life in a North African Sufi order. Against this background stands the unforgettable figure of the Algerian Shaikh who was head of the order from 1909 until his death in 1934. The last few chapters are mainly devoted to his writings, which include some penetrating aphorisms, and which end with a small anthology of his remarkable mystic poems.","{'Islam', 'Religion', 'Biography', 'Spirituality', 'History'}","242 pages, Paperback",4.24
Standing Alone in Mecca: An American Woman's Struggle for the Soul of Islam,Asra Q. Nomani,"As President Bush is preparing to invade Iraq, Wall Street Journal correspondent Asra Nomani embarks on a dangerous journey from Middle America to the Middle East to join more than two million fellow Muslims on the hajj, the pilgrimage to Mecca required of all Muslims once in their lifetime. Mecca is Islam's most sacred city and strictly off limits to non-Muslims. On a journey perilous enough for any American reporter, Nomani is determined to take along her infant son, Shibli -- living proof that she, an unmarried Muslim woman, is guilty of zina, or ""illegal sex."" If she is found out, the puritanical Islamic law of the Wahabbis in Saudi Arabia may mete out terrifying punishment. But Nomani discovers she is not alone. She is following in the four-thousand-year-old footsteps of another single mother, Hajar (known in the West as Hagar), the original pilgrim to Mecca and mother of the Islamic nation.Each day of her hajj evokes for Nomani the history of a different Muslim matriarch: Eve, from whom she learns about sin and redemption; Hajar, the single mother abandoned in the desert who teaches her about courage; Khadijah, the first benefactor of Islam and trailblazer for a Muslim woman's right to self-determination; and Aisha, the favorite wife of the Prophet Muhammad and Islam's first female theologian. Inspired by these heroic Muslim women, Nomani returns to America to confront the sexism and intolerance in her local mosque and to fight for the rights of modern Muslim women who are tired of standing alone against the repressive rules and regulations imposed by reactionary fundamentalists.Nomani shows how many of the freedoms enjoyed centuries ago have been erased by the conservative brand of Islam practiced today, giving the West a false image of Muslim women as veiled and isolated from the world. Standing Alone in Mecca is a personal narrative, relating the modern-day lives of the author and other Muslim women to the lives of those who came before, bringing the changing face of women in Islam into focus through the unique lens of the hajj. Interweaving reportage, political analysis, cultural history, and spiritual travelogue, this is a modern woman's jihad, offering for Westerners a never-before-seen look inside the heart of Islam and the emerging role of Muslim women.","{'Islam', 'Nonfiction', 'Feminism', 'Memoir', 'Womens', 'Religion', 'Biography'}","320 pages, Hardcover",3.75
The Principles of State and Government in Islam,Muhammad Asad,"The very fact that none of the existing Muslim countries has so far achieved a form of government that could be termed genuinely Islamic, makes a discussion of the principles that underlie the constitution of Islamic state imperative. This book is an attempt to keep that discussion alive.","{'Islam', 'Politics', 'Nonfiction', 'Religion'}","110 pages, Paperback",4.17
"Reopening Muslim Minds: A Return to Reason, Freedom, and Tolerance",Mustafa Akyol,"A fascinating journey into Islam's diverse history of ideas, making an argument for an ""Islamic Enlightenment"" todayIn Reopening Muslim Minds , Mustafa Akyol, senior fellow at the Cato Institute and opinion writer for The New York Times , both diagnoses “the crisis of Islam” in the modern world, and offers a way forward. Diving deeply into Islamic theology, and also sharing lessons from his own life story, he reveals how Muslims lost the universalism that made them a great civilization in their earlier centuries. He especially demonstrates how values often associated with Western Enlightenment ― freedom, reason, tolerance, and an appreciation of science ― had Islamic counterparts, which sadly were cast aside in favor of more dogmatic views, often for political ends.Elucidating complex ideas with engaging prose and storytelling, Reopening Muslim Minds borrows lost visions from medieval Muslim thinkers such as Ibn Rushd (aka Averroes), to offer a new Muslim worldview on a range of sensitive human rights, equality for women, freedom of religion, or freedom from religion. While frankly acknowledging the problems in the world of Islam today, Akyol offers a clear and hopeful vision for its future.","{'Politics', 'Islam', 'Nonfiction', 'Sociology', 'Religion', 'Philosophy', 'History'}","336 pages, Hardcover",4.41
Al-Maqasid: Nawawi's Manual of Islam,Yahya ibn Sharaf al Nawawi,"AL-MAQASID FAMOUS FIQH BOOKS like al-Maqasid have stood the test of time because of their sheer usefulness. Compact enough to be memorized by students becoming scholars, al-Maqasid contains hundreds of rulings of personal Islamic law distilled from the most commonly asked and answered questions in schools and mosques from the time of the Prophet (Allah bless him and give him peace) down to Imam Nawawi. Widely considered the best medium-size handbook available in English for teaching the basics of Islam from a traditional perspective, this new edition has been revised and updated with a full complement of notes on a number of contemporary Muslim issues, and three major essays have been appended on why Muslims follow madhhabs, hadiths the mujtahid Imams lacked, and the place of Sufism in Islam.NUH HA MIM KELLER has studied Islamic jurisprudence, hadith, and other traditional sciences with sheikhs in Syria and Jordan since 1981. He lives and teaches in Amman.Cover: At the far Western end of Muslim lands, facing across the Atlantic, this maqam at Safi is a metaphor, in its way, of Sacred Knowledge as the redoubt of the believer between the land of this world and the sea of eternity","{'Islam', 'Theology', 'Religion'}","226 pages, Paperback",4.49
The Bad Muslim Discount,Syed M. Masood,"Following two families from Pakistan and Iraq in the 1990s to San Francisco in 2016, Bad Muslim Discount is a hilarious, timely, and provocative comic novel about being Muslim immigrants in modern America. For fans of Hanif Kureshi, Mira Jacob, and Mohammed Hanif.It is 1995, and Anvar Faris is a restless, rebellious, and sharp-tongued boy doing his best to grow up in Karachi, Pakistan. As fundamentalists in the government become increasingly strident and the zealots next door start roaming the streets in gangs to help make Islam great again, his family decides, not quite unanimously, to start life over in California. The irony is not lost on Anvar that in America, his deeply devout mother and his model-Muslim brother are the ones who fit right in with the tightly knit and gossipy Desi community. Anvar wants more.At the same time, thousands of miles away, Safwa, a young girl suffocating in war-torn Baghdad with her grief-stricken, conservative father will find a very different and far more dangerous path to America. These two narratives are intrinsically linked, and when their worlds come together, the fates of two remarkably different people intertwine and set off a series of events that rock their whole community to its core.The Bad Muslim Discount is an irreverent, dramatic, and often hysterically funny debut novel by an amazing new voice. With deep insight, warmth, and an irreverent sense of humor, Syed Masood examines quirky and intense familial relationships, arranged marriage, Islamic identity, and how to live together in modern America.","{'Islam', 'Audiobook', 'Romance', 'Religion', 'Historical Fiction', 'Contemporary', 'Fiction'}","368 pages, Hardcover",4.15
A Woman Is No Man,Etaf Rum,"This debut novel by a Palestinian-American voice takes us inside the lives of a conservative Arab family living in America. In Brooklyn, eighteen-year-old Deya is starting to meet with suitors. Though she doesn’t want to get married, her grandparents give her no choice. History is repeating itself: Deya’s mother, Isra, also had no choice when she left Palestine as a teenager to marry Adam. Though Deya was raised to believe her parents died in a car accident, a secret note from a mysterious, yet familiar-looking woman makes Deya question everything she was told about her past. As the narrative alternates between the lives of Deya and Isra, she begins to understand the dark, complex secrets behind her community.","{'Feminism', 'Audiobook', 'Adult', 'Literary Fiction', 'Historical Fiction', 'Contemporary', 'Fiction'}","339 pages, Hardcover",4.26
The Closing of the Muslim Mind: How Intellectual Suicide Created the Modern Islamist,Robert R. Reilly,"Islam’s Intellectual Suicide—and the Threat to Us All People are shocked and frightened by the behavior coming out the Islamic world—not only because it is violent, but also because it is seemingly inexplicable. While there are many answers to the question of “what went wrong” in the Muslim world, no one has decisively answered why it went wrong. Until now. In this eye-opening new book, foreign policy expert Robert R. Reilly uncovers the root of our contemporary a pivotal struggle waged within the Muslim world nearly a millennium ago. In a heated battle over the role of reason, the side of irrationality won. The deformed theology that resulted, Reilly reveals, produced the spiritual pathology of Islamism, and a deeply dysfunctional culture. Terrorism—from 9/11, to London, Madrid, and Mumbai, to the Christmas 2009 attempted airline bombing—is the most obvious manifestation of this crisis. But Reilly shows that the pathology extends much further. The Closing of the Muslim Mind solves such puzzles ·        why peace is so elusive in the Middle East ·        why the Arab world stands near the bottom of every measure of human development ·        why scientific inquiry is nearly dead in the Islamic world ·        why Spain translates more books in a single year than the entire Arab world has in the past thousand years ·        why some people in Saudi Arabia still refuse to believe man has been to the moon ·        why Muslim media frequently present natural disasters like Hurricane Katrina as God’s direct retribution Delving deeper than previous polemics and simplistic analyses, The Closing of the Muslim Mind provides the answers the West has so desperately needed in confronting the Islamist crisis. WHAT THEY ARE SAYING ""The lack of liberty within Islam is a huge problem. Robert Reilly’s The Closing of the Muslim Mind shows that a millennium ago Muslims debated whether minds should be free to explore the world—and freedom lost. The intellectual history he offers helps to explain why Muslim countries fell behind Christian-based ones in scientific inquiry, economic development, and technology. Reilly provides astonishing statistics . . . [and] also points out how theology prefigures politics.""—World Magazine  ""As Robert R. Reilly points out in The Closing of the Muslim Mind . . . the Islamic conception of God as pure will, unbound by reason and unknowable through the visible world, rendered any search for cause and effect in nature irrelevant to Muslim societies over centuries, resulting in slipshod, dependent cultures. Reilly notes, for example, that Pakistan, a nation which views science as automatically impious given its view that an arbitrary God did not imprint upon nature a rational order worth investigating, produces almost no patents.""—American Spectator "" What happened to moderate Islam and what sort of hope we may have for it in the future is the subject of Robert Reilly’s brilliant and groundbreaking new book. The Closing of the Muslim Mind is a page-turner that reads almost like an intellectual detective novel...One thing Reilly’s account makes Only when we move beyond the common platitudes of our contemporary political discussion and begin to deal with Islam as it really is — rather than the fiction that it is the equivalent of our Western culture dressed up in a burqa — will we be able to help make progress in that direction."" — National Review Online","{'Islam', 'Politics', 'Nonfiction', 'Cultural', 'Religion', 'Philosophy', 'History'}","244 pages, Hardcover",4.14
Paradise Beneath Her Feet: How Women are Transforming the Middle East,Isobel Coleman,"Over the centuries and throughout the world, women have struggled for equality and basic rights. Their challenge in the Middle East has been intensified by the rise of a political Islam that too often condemns women’s empowerment as Western cultural imperialism or, worse, anti-Islamic. In Paradise Beneath Her Feet , Isobel Coleman shows how Muslim women and men are fighting back with progressive interpretations of Islam to support women’s rights in a growing movement of Islamic feminism.In this timely book, Coleman journeys through the strategic crescent of the greater Middle East—Saudi Arabia, Iraq, Iran, Afghanistan, and Pakistan—to reveal how activists are working within the tenets of Islam to create economic, political, and educational opportunities for women. Coleman argues that these efforts are critical to bridging the conflict between those championing reform and those seeking to oppress women in the name of religious tradition. Success will bring greater stability and prosperity to the Middle East and stands to transform the region.   Coleman highlights a number of Muslim men and women who are among the most influential Islamic feminist thinkers, and brilliantly illuminates the on-the-ground experiences of women who are driving Sakena Yacoobi, an Afghan educator, runs more than forty women’s centers across Afghanistan, providing hundreds of thousands of women with literacy and health classes and teaching them about their rights within Islam. Madawi al-Hassoon, a successful businesswoman, is challenging conservative conventions to break new ground for Saudi professional women. Salama al-Khafaji, a devout dentist-turned-politician, relies on moderate interpretations of Islam to promote opportunities for women in Iraq’s religiously charged environment. These quiet revolutionaries are using Islamic feminism to change the terms of religious debate, to fight for women’s rights within Islam instead of against it.There is no mistaking that women and women’s issues are very much on the front lines of a war that is taking place between advocates of innovation, tolerance, and plurality and those who use violence to reject modernity in Muslim communities around the world. Ultimately,  Paradise Beneath Her Feet offers a message of Change is happening—and more often than not, it is being led by women.","{'Islam', 'Politics', 'Nonfiction', 'Feminism', 'Gender', 'Womens', 'Religion'}","352 pages, Hardcover",3.99
Sweetness in the Belly,Camilla Gibb,"Like Brick Lane and The Kite Runner, Camilla Gibb's widely praised new novel is a poignant and intensely atmospheric look beyond the stereotypes of Islam. After her hippie British parents are murdered, Lilly is raised at a Sufi shrine in Morocco. As a young woman she goes on pilgrimage to Harar, Ethiopia, where she teaches Qur'an to children and falls in love with an idealistic doctor. But even swathed in a traditional headscarf, Lilly can't escape being marked as a foreigner. Forced to flee Ethiopia for England, she must once again confront the riddle of who she is and where she belongs.","{'Islam', 'Religion', 'Ethiopia', 'Historical Fiction', 'Canada', 'Africa', 'Fiction'}","368 pages, Paperback",3.91
Instruction of the Student: The Method of Learning,Burhan al-Din al-Zarnuji,"This is a remarkable volume that touches upon the method by which students of the classical Muslim world learned their studies in a traditional way. Its author, Imam al-Zarnuji, has attracted the attention of Western men of learning for centuries, as they tried to decipher the secret behind the stunning educational success of Islamic civilization.","{'Islam', 'Nonfiction', 'Education', 'Religion', 'Spirituality', 'Philosophy'}","76 pages, Paperback",4.21
The Secret of Secrets,عبد القادر الجيلاني,"An interpretative translation by Shaykh Tosun Bayrak of Sirr al-Asrar by Hadrat Abd al-Qadir al-Jilani (1077-1166AD), considered by many to be one of the greatest saints of Islam and the eponymous founder of the Qadiriyya order. This book, appearing in English for the first time, contains the very essence of Sufism, giving a Sufi explanation of how the outward practises of Islam—prayer, fasting, almsgiving and pilgrimage—contain a wealth of inner dimension which must be discovered and enjoyed if external actions are to be performed in a manner pleasing to God. When this is achieved the soul finds true peace and the spiritual life becomes complete.","{'Islam', 'Nonfiction', 'Religion', 'Theology', 'Spirituality'}","172 pages, Paperback",4.36
Saksikan Bahwa Aku Seorang Muslim,Salim Akhukum Fillah,"Menjadi muslim adalah menjadi kain putih. Lalu Allah mencelupnya menjadi warna ketegasan, kesejukan, keceriaan, dan cinta; rahmat bagi semesta alam. Aku jadi rindu pada pelangi itu, pelangi yang memancarkan celupan warna Ilahi. Telah tiba saatnya, derai berkilau Islam tak lagi terpisahkan dari pendar menawan seorang muslim.","{'Islam', 'Nonfiction', 'Religion', 'Muslims', 'Spirituality', 'Indonesian Literature'}","392 pages, Paperback",4.28
فقه السنة,السيد سابق,"في 3 مجلدات خفيفة فقط مكتوبة بلغة سهلة يقدم الشيخ السيد سابق لكل مسلم ما يجب عليه معرفته من الحلال و الحرام, الكتاب مقسم الى أبواب و تصنيفات تسهل الوصول الى المعلومات, العبادات و المعاملات و كل ما يهم المسلم دون التوغل في الخلافات و التفاصيل.هذا الكتاب هو مرجع لغير المتخصصين لا غنى عنه في البيت المسلمتقديم الكتاب بقلم فضيلة الشيخ حسن البنا","{'Religion', 'Islam', 'Nonfiction', 'Reference'}","1924 pages, Hardcover",4.51
السيرة النبوية: عرض وقائع وتحليل أحداث,علي محمد الصلابي,"في هذا الكتاب تقص لأحداث السيرة، حيث يتحدث الباحث وهو الدكتور ""علي محمد الصلابي"" عن أحوال العالم قبل البعثة، والحضارات السائدة، والأحوال السياسية، والاقتصادية، والاجتماعية، والخلقية في زمن البعثة، وعن الأحداث المهمة قبل المولد النبوي، وعن نزول الوحي، ومراحل الدعوة، والبناء التصوري، والأخلاقي، والتعبدي في العهد المكي، وعن أساليب المشركين في محاربة الدعوة، وعن الهجرة إلى الحبشة، ومحنة الطائف، ومنحة الإسراء والمعراج، والطواف على القبائل، ومواكب الخير، وطلائع النور من أهل يثرب، والهجرة النبوية، ويقف الكتاب بالقارئ على الأحداث، مستخرجاً منها الدروس، والعبر، والفوائد، لكي يستفيد منها المسلمون في عالمنا المعاصر. وتحدث الباحث عن حياة النبي صلى الله عليه وسلم، منذ دخوله المدينة إلى وفاته، وبين فقه النبي صلى الله عليه وسلم في إرساء دعائم المجتمع، وتربيته، ووسائله في بناء الدولة، ومحاربة أعدائها في الداخل، والخارج، فيقف الباحث على فقه النبي صلى الله عليه وسلم في سياسة المجتمع، ومعاهدته مع أهل الكتاب التي سجلت في الوثيقة، وحركته الجهادية، ومعالجته الاقتصادية، والارتقاء بالمسلم نحو مفاهيم هذا الدين، الذي جاء لإنقاذ البشرية من دياجير الظلام، وعبادة الأوثان، وانحرافها عن شريعة الحكيم المتعال.","{'Islam', 'Nonfiction', 'History', 'Religion'}","943 pages, Hardcover",4.40
الأربعون النووية,يحيى بن شرف النووي,"""الأربعين في مباني الإسلام وقواعد الدين""","{'Religion', 'Islam', 'Nonfiction', 'Muslims'}",35 pages,4.69
Hagarism: The Making of the Islamic World,Patricia Crone,"This is a paperback edition of a controversial study of the origins of Islamic civilisation, first published in 1977. By examining non-Muslim sources, the authors point out the intimate link between the Jewish religion and the earliest forms of Islam. As a serious, scholarly attempt to open up a new, exploratory path of Islamic history, the book has already engendered much debate. This paperback edition will make the authors' conclusions widely accessible to teachers and students of Middle Eastern and Islamic studies.","{'Islam', 'Nonfiction', 'History', 'Religion'}","268 pages, Paperback",3.47
The Caliphate,Hugh Kennedy,"What is a caliphate? Who can be caliph? And how are contemporary ideologues such as ISIS reviving - and abusing - the term today?In the first modern account of a subject of critical importance today, acclaimed historian Hugh Kennedy answers these questions by chronicling the rich history of the caliphate, from the death of Muhammad to the present. At its height, the caliphate stretched from Spain to China and was the most powerful political entity in western Eurasia. In an era when Paris and London boasted a few thousand inhabitants, Baghdad and Cairo were sophisticated centres of trade and culture, and the Ummayad and Abbasid caliphates were distinguished by extraordinary advances in science, medicine and architecture. By ending with the recent re-emergence of caliphal ideology within fundamentalist Islam, The Caliphate underscores why it is crucial that we understand this form of Islamic government before groups such as ISIS distort its practice completely.","{'Islam', 'Politics', 'Nonfiction', 'Spain', 'Religion', 'History'}","390 pages, Kindle Edition",3.96
The Way of the Strangers: Encounters with the Islamic State,Graeme Wood,"The author of the explosive Atlantic cover story “What ISIS Really Wants” has written the definitive, electrifying account of the strategy, psychology, and theology driving the Islamic State.Tens of thousands of men and women have left comfortable, privileged lives to join the Islamic State and kill for it. To them, its violence is beautiful and holy, and the caliphate a fulfillment of prophecy and the only place on earth where they can live and die as Muslims.The Way of the Strangers is an intimate journey into the minds of the Islamic State’s true believers. From the streets of Cairo to the mosques of London, Wood interviews supporters, recruiters, and sympathizers of the group. We meet an Egyptian tailor who once made bespoke suits for Paul Newman and now wants to live, finally, under Shariah; a Japanese convert who believes that the eradication of borders—one of the Islamic State’s proudest achievements—is a religious imperative; and a charming, garrulous Australian preacher who translates the group’s sermons and threats into English and is accused of recruiting for the organization. We also learn about a prodigy of Islamic rhetoric, now stripped of the citizenship of the nation of his birth and determined to see it drenched in blood. Wood speaks with non–Islamic State Muslim scholars and jihadists, and explores the group’s idiosyncratic, coherent approach to Islam. The Islamic State is bent on murder and apocalypse, but its followers find meaning and fellowship in its utopian dream. Its first caliph, Abu Bakr al Baghdadi, has declared that he is the sole legitimate authority for Muslims worldwide. The theology, law, and emotional appeal of the Islamic State are key to understanding it—and predicting what its followers will do next.Through character study and analysis, Wood provides a clear-eyed look at a movement that has inspired so many people to abandon or uproot their families. Many seek death—and they will be the terror threat of the next decade, as they strike back against the countries fighting their caliphate. Just as Lawrence Wright’s The Looming Tower informed our understanding of Al Qaida, Graeme Wood’s The Way of the Strangers will shape how we see a new generation of terrorists.Advance praise for The Way of the Strangers “Indispensable and gripping . . . Graeme Wood’s quest to understand the Islamic State is a round-the-world journey to the end of the night. As individuals, the men he encounters are misfits, even losers. But their millenarian Islamist ideology makes them the most dangerous people on the planet.”—Niall Ferguson, senior fellow, Hoover Institution, Stanford University, author of The War of the World “Over the course of its short life, the Islamic State has inspired millions, thousands of whom have rallied to its cause in search of a glorious death. But why? Are its devotees nothing more than sadists and two-bit mafiosi for whom religion is a fig leaf and who will fade away in the face of military defeat? In this essential book, Graeme Wood draws on more than a decade of reporting to demolish these and other comforting deceptions.”—Reihan Salam, executive editor, National Review “Graeme Wood is America’s foremost interpreter of ISIS as a world-historical phenomenon. In The Way of the Strangers, he has given us the definitive work to date on the origins, plans, and meaning of the world’s most dangerous terrorist organization.","{'Politics', 'Islam', 'Nonfiction', 'Terrorism', 'Religion', 'War', 'History'}","354 pages, Kindle Edition",4.14
فيصل التفرقة بين الإسلام والزندقة,Abu Hamid al-Ghazali,يحتوي على كتابين للإمام الغزالي أحدهما فيصل التفرقة بين الإسلام والزندقة جاء به المحقق بعد التعريف بالإمام الغزالي وبين أن التكفير بالاختلاف المذهبي نابع من التقليد ولا أساس له ويبحث في حد الكفر ومراتب الوجود وأمثلته والتفرقة في معنى تكذيب الشارع ويبحث في قانون التأويل وعدم التسرع في التكفير وتفصيل ما يكفر وما لا يكفر وما يتعلق بذلك ورد من كفر بالتقليد وبيان حقيقة ما به الكفر ويبين أن مأخذ التكفير من الشرع وفي أن الناس من يكفَّر ومن يكفَّر وثاني الكتابين هو قانون التأويل وتفصيل أحكامه.,"{'Islam', 'Philosophy', 'Religion'}","95 pages, Paperback",4.28
Not Without My Daughter,Betty Mahmoody,"In August 1984, Michigan housewife Betty Mahmoody accompanied her husband to his native Iran for a two-week vacation that turned into a permanent stay. To her horror, she found herself and her four-year-old daughter, Mahtob, virtual prisoners of a man rededicated to his Shiite Moslem faith, in a land where women are near-slaves and Americans despised. Their only hope for escape lay in a dangerous underground that would not take her child.","{'Nonfiction', 'Iran', 'Memoir', 'Drama', 'Biography', 'Biography Memoir', 'Autobiography'}","528 pages, Paperback",4.15
